"Scenario","state","colorNoise","sizeNoise","nounNoise","alpha","cost","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"1B","smallbluepin, bigbluepin, bigredpin, smallredball",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.5297105110069307","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallredball",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.10373798220959304","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallredball",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.49148120105533255","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallredball",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.3122477116707409","Vietnamese"
"2B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredpin, bigredpin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","med Scene Variation","small blue pin","0.6681931189495002","English"
"2B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredpin, bigredpin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue small","0.3339279116155458","Spanish"
"2B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredpin, bigredpin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","med Scene Variation","small pin blue","0.7932992196488599","French"
"2B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredpin, bigredpin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","med Scene Variation","pin blue and small + pin small and blue","0.7186231297565991","Vietnamese"
"3B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredsquare, bigredsquare, bigbluepin, bigbluepin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","high Scene Variation","small blue pin","0.7359654637702207","English"
"3B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredsquare, bigredsquare, bigbluepin, bigbluepin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue small","0.05372722152037156","Spanish"
"3B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredsquare, bigredsquare, bigbluepin, bigbluepin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","high Scene Variation","small pin blue","0.6894227883212704","French"
"3B","smallbluepin, bigbluepin, bigredpin, smallredball, bigredsquare, bigredsquare, bigbluepin, bigbluepin",0.95,0.8,0.99,5,0.1,"Color Redundant","Continuous","Incremental","high Scene Variation","pin blue and small + pin small and blue","0.6362058321644704","Vietnamese"
