"states","commandType","command","target","utterance","allUtterances","model","semantics","alpha","sizeNoise","colorNoise","genderNoise","nounNoise","sizeCost","colorCost","nounCost","output"
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc blue_masc plate_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.1875
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc blue_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.1875
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc plate_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.1875
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.1875
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START blue_masc plate_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.09375
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START blue_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.09375
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START plate_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0,0,0,0.0625
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0.1,0.1,0.1,0.203493675821407
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc blue_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0.1,0.1,0.1,0.184128692216888
"['big_blue_plate_masc', 'big_red_plate_masc', 'small_blue_plate_masc']","globalBool","globalUtteranceSpeaker('small_blue_plate_masc', model, params, semantics)","small_blue_plate_masc","START small_masc plate_masc STOP","['START big_masc STOP', 'START blue_masc STOP', 'START plate_masc STOP', 'START blue_masc plate_masc STOP', 'START big_masc plate_masc STOP', 'START big_masc blue_masc STOP', 'START big_masc blue_masc plate_masc STOP', 'START red_masc STOP', 'START red_masc plate_masc STOP', 'START big_masc red_masc STOP', 'START big_masc red_masc plate_masc STOP', 'START small_masc STOP', 'START small_masc plate_masc STOP', 'START small_masc blue_masc STOP', 'START small_masc blue_masc plate_masc STOP']","var model = function(params) {  return { words : ['big_masc','blue_masc','plate_masc','red_masc','small_masc','STOP', 'START'], wordCost: {'big_masc' : params.sizeCost,'small_masc' : params.sizeCost,'blue_masc' : params.colorCost,'red_masc' : params.colorCost,'plate_masc' : params.nounCost,'STOP'  : 0, 'START'  : 0 },}}","var semantics = function(params) { return function(state) { return { big_masc: ['big_blue_plate_masc','big_red_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc'], state),blue_masc: ['big_blue_plate_masc','small_blue_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','small_blue_plate_masc'], state),plate_masc: ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'].includes(state) ? params.nounNoiseVal : falseSemantics(params.nounNoiseVal, params.genderNoiseVal, ['big_blue_plate_masc','big_red_plate_masc','small_blue_plate_masc'], state),red_masc: ['big_red_plate_masc'].includes(state) ? params.colorNoiseVal : falseSemantics(params.colorNoiseVal, params.genderNoiseVal, ['big_red_plate_masc'], state),small_masc: ['small_blue_plate_masc'].includes(state) ? params.sizeNoiseVal : falseSemantics(params.sizeNoiseVal, params.genderNoiseVal, ['small_blue_plate_masc'], state),STOP : 1, START : 1 } } }",1,1,1,1,1,0.1,0.1,0.1,0.184128692216888
